sample,len,type,
OM2W,79326464,Illumina,
OM4W,75237718,Illumina,
OM8W,108383459,Illumina,
EL2W,83460093,Illumina,
EL4W,78233749,Illumina,
ELz12W,85053014,Illumina,
WH1M,118976788,Illumina,
WH2M,145529887,Illumina,
WH4M,105064910,Illumina,
