sample,len,type
OM2W,251305,Gridion
OM4W,206574,Gridion
OM8W,256457,Gridion
EL2W,1127027,Gridion
EL4W,823368,Gridion
ELz12W,220305,Gridion
WH1M,82606,Gridion
WH2M,69248,Gridion
WH4M,189473,Gridion
OM4W-WGA,35933,Gridion
EL4W-WGA,72921,Gridion
WH2M-WGA,85690,Gridion
AL4M,94805,Gridion
WHous2M,71337,Gridion
WI3W,1420506,Gridion
