sample,len,type
OM2W,1401456,Illumina
OM4W,266524,Illumina
OM8W,489494,Illumina
EL2W,863861,Illumina
EL4W,610009,Illumina
ELz12W,270112,Illumina
WH1M,568683,Illumina
WH2M,403655,Illumina
WH4M,568683,Illumina
