sample,len,type
OM2W,76,Gridion
OM4W,70,Gridion
OM8W,98,Gridion
EL2W,82,Gridion
EL4W,59,Gridion
ELz12W,116,Gridion
WH1M,234,Gridion
WH2M,215,Gridion
WH4M,130,Gridion
OM4W-WGA,72,Gridion
EL4W-WGA,79,Gridion
WH2M-WGA,120,Gridion
AL4M,134,Gridion
WHous2M,217,Gridion
WI3W,41,Gridion
