sample,len,type
OM2W,76984836,Gridion
OM4W,34025812,Gridion
OM8W,82653778,Gridion
EL2W,73348741,Gridion
EL4W,62551192,Gridion
ELz12W,68053988,Gridion
WH1M,101617845,Gridion
WH2M,90411903,Gridion
WH4M,85647949,Gridion
OM4W-WGA,8171585,Gridion
EL4W-WGA,27021306,Gridion
WH2M-WGA,51750955,Gridion
AL4M,90720377,Gridion
WHous2M,78347998,Gridion
WI3W,46826900,Gridion
