sample ,len,type
OM2W,1809920,Gridion
OM4W,1195509,Gridion
OM8W,1243527,Gridion
EL2W,1365861,Gridion
EL4W,1185003,Gridion
ELz12W,1008150,Gridion
WH1M,1605959,Gridion
WH2M,1705799,Gridion
WH4M,995031,Gridion
OM4W-WGA,539685,Gridion
EL4W-WGA,440996,Gridion
WH2M-WGA,272848,Gridion
AL4M,1580429,Gridion
WHous2M,1717519,Gridion
WI3W,899279,Gridion
