sample ,len,type
OM2W,1055,Gridion
OM4W,1446,Gridion
OM8W,1520,Gridion
EL2W,1712,Gridion
EL4W,1002,Gridion
ELz12W,1420,Gridion
WH1M,3667,Gridion
WH2M,6301,Gridion
WH4M,2299,Gridion
OM4W-WGA,635,Gridion
EL4W-WGA,859,Gridion
WH2M-WGA,1465,Gridion
AL4M,4041,Gridion
WHous2M,4336,Gridion
WI3W,793,Gridion
