sample ,len,type
OM2W,8240,Gridion
OM4W,3880,Gridion
OM8W,8480,Gridion
EL2W,3710,Gridion
EL4W,5290,Gridion
ELz12W,6850,Gridion
WH1M,6080,Gridion
WH2M,2850,Gridion
WH4M,5480,Gridion
OM4W-WGA,8480,Gridion
EL4W-WGA,8060,Gridion
WH2M-WGA,9780,Gridion
AL4M,3590,Gridion
WHous2M,3670,Gridion
WI3W,3020,Gridion
