sample,len,type
OM2W,3928894,Gridion
OM4W,3933759,Gridion
OM8W,4456845,Gridion
EL2W,3926461,Gridion
EL4W,3928853,Gridion
ELz12W,4096232,Gridion
WH1M,3896469,Gridion
WH2M,3879948,Gridion
WH4M,3931379,Gridion
OM4W-WGA,517508,Gridion
EL4W-WGA,3791997,Gridion
WH2M-WGA,3780672,Gridion
AL4M,3901461,Gridion
WHous2M,3160752,Gridion
WI3W,3929106,Gridion
