sample,len,type
OM2W,13978,Illumina
OM4W,4297,Illumina
OM8W,7663,Illumina
EL2W,19690,Illumina
EL4W,18605,Illumina
ELz12W,1880,Illumina
WH1M,4648,Illumina
WH2M,4308,Illumina
WH4M,14308,Illumina
