sample,len,type
OM2W,113282802,Illumina
OM4W,110655420,Illumina
OM8W,114371630,Illumina
EL2W,108707260,Illumina
EL4W,143393884,Illumina
ELz12W,120479188,Illumina
WH1M,121499862,Illumina
WH2M,127046080,Illumina
WH4M,113813124,Illumina
