EL12LR,EL2LR,EL4LR,EL12SR,EL2SR,EL4SR,OM2SR,OM4SR,OM8SR,WH1SR,WH2SR,WH4SR,OM2LR,OM8LR,OM4LR,WH1LR,WH2LR,WH4LR
1,0.195105121,0.237624419,0.383112821,0.180822447,0.194910757,0.153398629,0.205158108,0.223810958,0.06805409,0.060746388,0.086365407,0.20398542,0.31580936,0.369023532,0.095043563,0.086390196,0.07888108
0.195105121,1,0.73054087,0.324305203,0.599126986,0.606378727,0.577954791,0.494024417,0.431636479,0.038954622,0.030156428,0.008615433,0.674527075,0.370593288,0.290324747,0.024838765,0.004998932,0.009832217
0.237624419,0.73054087,1,0.359445436,0.560671145,0.597120527,0.543374855,0.51112134,0.456081395,0.006566867,0.005355274,0.008862874,0.670600749,0.418424811,0.315086938,0.01079805,0.005579662,0.012815917
0.383112821,0.324305203,0.359445436,1,0.371885554,0.399290571,0.335602171,0.379084362,0.406462134,0.101220332,0.097058357,0.107444235,0.310279744,0.341608003,0.238911985,0.10133469,0.104262716,0.083023247
0.180822447,0.599126986,0.560671145,0.371885554,1,0.678820614,0.611188714,0.572104365,0.482584521,0.054800759,0.045408677,0.027568691,0.522901315,0.340934916,0.266908267,0.038657307,0.020446135,0.026369684
0.194910757,0.606378727,0.597120527,0.399290571,0.678820614,1,0.62455672,0.577520723,0.499235349,0.050664933,0.039816437,0.025585956,0.538609442,0.349585531,0.266543458,0.025693634,0.008341169,0.024049946
0.153398629,0.577954791,0.543374855,0.335602171,0.611188714,0.62455672,1,0.619280473,0.520025948,0.049680137,0.039513195,0.018110056,0.611909698,0.322573181,0.255520808,0.033175232,0.016672793,0.016801874
0.205158108,0.494024417,0.51112134,0.379084362,0.572104365,0.577520723,0.619280473,1,0.53969105,0.049038361,0.043820927,0.041532748,0.542318748,0.363137876,0.312294364,0.045231679,0.041673923,0.040443462
0.223810958,0.431636479,0.456081395,0.406462134,0.482584521,0.499235349,0.520025948,0.53969105,1,0.181337943,0.167278576,0.195768652,0.469407613,0.47920396,0.232032722,0.176974594,0.165849862,0.161993415
0.06805409,0.038954622,0.006566867,0.101220332,0.054800759,0.050664933,0.049680137,0.049038361,0.181337943,1,0.474649609,0.424460811,0.033359467,0.164601207,0.010787501,0.404105774,0.354365502,0.332555302
0.060746388,0.030156428,0.005355274,0.097058357,0.045408677,0.039816437,0.039513195,0.043820927,0.167278576,0.474649609,1,0.390867261,0.027186766,0.155204102,0.009239358,0.358215759,0.389455939,0.304348075
0.086365407,0.008615433,0.008862874,0.107444235,0.027568691,0.025585956,0.018110056,0.041532748,0.195768652,0.424460811,0.390867261,1,0.015848614,0.17879254,0.014232809,0.363343918,0.33949053,0.472608516
0.20398542,0.674527075,0.670600749,0.310279744,0.522901315,0.538609442,0.611909698,0.542318748,0.469407613,0.033359467,0.027186766,0.015848614,1,0.401408479,0.329994336,0.028414515,0.016147011,0.019435807
0.31580936,0.370593288,0.418424811,0.341608003,0.340934916,0.349585531,0.322573181,0.363137876,0.47920396,0.164601207,0.155204102,0.17879254,0.401408479,1,0.319478976,0.258019711,0.21583559,0.216425477
0.369023532,0.290324747,0.315086938,0.238911985,0.266908267,0.266543458,0.255520808,0.312294364,0.232032722,0.010787501,0.009239358,0.014232809,0.329994336,0.319478976,1,0.020915639,0.011757026,0.020761772
0.095043563,0.024838765,0.01079805,0.10133469,0.038657307,0.025693634,0.033175232,0.045231679,0.176974594,0.404105774,0.358215759,0.363343918,0.028414515,0.258019711,0.020915639,1,0.466144221,0.401643219
0.086390196,0.004998932,0.005579662,0.104262716,0.020446135,0.008341169,0.016672793,0.041673923,0.165849862,0.354365502,0.389455939,0.33949053,0.016147011,0.21583559,0.011757026,0.466144221,1,0.33848514
0.07888108,0.009832217,0.012815917,0.083023247,0.026369684,0.024049946,0.016801874,0.040443462,0.161993415,0.332555302,0.304348075,0.472608516,0.019435807,0.216425477,0.020761772,0.401643219,0.33848514,1
